Title,Authors,Abstract,Published,Category,PDF_Link,Link,processed_text,citation_weight,entropy_score,recalibration_factor
PaXNet: Dental Caries Detection in Panoramic X-ray using Ensemble Transfer Learning and Capsule Classifier,"Arman Haghanifar, Mahdiyar Molahasani Majdabadi, Seok-Bum Ko","Dental caries is one of the most chronic diseases involving the majority of the population during their lifetime. Caries lesions are typically diagnosed by radiologists relying only on their visual inspection to detect via dental x-rays. In many cases, dental caries is hard to identify using x-rays and can be misinterpreted as shadows due to different reasons such as low image quality. Hence, developing a decision support system for caries detection has been a topic of interest in recent years. Here, we propose an automatic diagnosis system to detect dental caries in Panoramic images for the first time, to the best of authors' knowledge. The proposed model benefits from various pretrained deep learning models through transfer learning to extract relevant features from x-rays and uses a capsule network to draw prediction results. On a dataset of 470 Panoramic images used for features extraction, including 240 labeled images for classification, our model achieved an accuracy score of 86.05\% on the test set. The obtained score demonstrates acceptable detection performance and an increase in caries detection speed, as long as the challenges of using Panoramic x-rays of real patients are taken into account. Among images with caries lesions in the test set, our model acquired recall scores of 69.44\% and 90.52\% for mild and severe ones, confirming the fact that severe caries spots are more straightforward to detect and efficient mild caries detection needs a more robust and larger dataset. Considering the novelty of current research study as using Panoramic images, this work is a step towards developing a fully automated efficient decision support system to assist domain experts.",2020-12-26T03:00:35Z,cs.CV,https://arxiv.org/pdf/2012.13666v1,https://arxiv.org/abs/2012.13666v1,dental caries one chronic disease involving majority population lifetime caries lesion typically diagnosed radiologist relying visual inspection detect via dental xrays many case dental caries hard identify using xrays misinterpreted shadow due different reason low image quality hence developing decision support system caries detection topic interest recent year propose automatic diagnosis system detect dental caries panoramic image first time best author knowledge proposed model benefit various pretrained deep learning model transfer learning extract relevant feature xrays us capsule network draw prediction result dataset panoramic image used feature extraction including labeled image classification model achieved accuracy score test set obtained score demonstrates acceptable detection performance increase caries detection speed long challenge using panoramic xrays real patient taken account among image caries lesion test set model acquired recall score mild severe one confirming fact severe caries spot straightforward detect efficient mild caries detection need robust larger dataset considering novelty current research study using panoramic image work step towards developing fully automated efficient decision support system assist domain expert,0.9651162790697675,0.9953661277894333,1.4803220267821102
Toward Compact Data from Big Data,"Song-Kyoo, Kim",Bigdata is a dataset of which size is beyond the ability of handling a valuable raw material that can be refined and distilled into valuable specific insights. Compact data is a method that optimizes the big dataset that gives best assets without handling complex bigdata. The compact dataset contains the maximum knowledge patterns at fine grained level for effective and personalized utilization of bigdata systems without bigdata. The compact data method is a tailor-made design which depends on problem situations. Various compact data techniques have been demonstrated into various data-driven research area in the paper.,2020-12-26T04:45:40Z,cs.DB,https://arxiv.org/pdf/2012.13677v1,https://arxiv.org/abs/2012.13677v1,bigdata dataset size beyond ability handling valuable raw material refined distilled valuable specific insight compact data method optimizes big dataset give best asset without handling complex bigdata compact dataset contains maximum knowledge pattern fine grained level effective personalized utilization bigdata system without bigdata compact data method tailormade design depends problem situation various compact data technique demonstrated various datadriven research area paper,0.3546511627906977,0.9910134670611472,1.1757320392172383
Towards sample-efficient episodic control with DAC-ML,"Ismael T. Freire, Adrián F. Amil, Vasiliki Vouloutsi, Paul F. M. J. Verschure","The sample-inefficiency problem in Artificial Intelligence refers to the inability of current Deep Reinforcement Learning models to optimize action policies within a small number of episodes. Recent studies have tried to overcome this limitation by adding memory systems and architectural biases to improve learning speed, such as in Episodic Reinforcement Learning. However, despite achieving incremental improvements, their performance is still not comparable to how humans learn behavioral policies. In this paper, we capitalize on the design principles of the Distributed Adaptive Control (DAC) theory of mind and brain to build a novel cognitive architecture (DAC-ML) that, by incorporating a hippocampus-inspired sequential memory system, can rapidly converge to effective action policies that maximize reward acquisition in a challenging foraging task.",2020-12-26T16:38:08Z,cs.AI,https://arxiv.org/pdf/2012.13779v1,https://arxiv.org/abs/2012.13779v1,sampleinefficiency problem artificial intelligence refers inability current deep reinforcement learning model optimize action policy within small number episode recent study tried overcome limitation adding memory system architectural bias improve learning speed episodic reinforcement learning however despite achieving incremental improvement performance still comparable human learn behavioral policy paper capitalize design principle distributed adaptive control dac theory mind brain build novel cognitive architecture dacml incorporating hippocampusinspired sequential memory system rapidly converge effective action policy maximize reward acquisition challenging foraging task,0.45348837209302323,0.9954245687766966,1.2257067336179719
Neural document expansion for ad-hoc information retrieval,"Cheng Tang, Andrew Arnold","Recently, Nogueira et al. [2019] proposed a new approach to document expansion based on a neural Seq2Seq model, showing significant improvement on short text retrieval task. However, this approach needs a large amount of in-domain training data. In this paper, we show that this neural document expansion approach can be effectively adapted to standard IR tasks, where labels are scarce and many long documents are present.",2020-12-27T20:00:08Z,cs.IR,https://arxiv.org/pdf/2012.14005v1,https://arxiv.org/abs/2012.14005v1,recently nogueira et al proposed new approach document expansion based neural seqseq model showing significant improvement short text retrieval task however approach need large amount indomain training data paper show neural document expansion approach effectively adapted standard ir task label scarce many long document present,0.2616279069767442,0.9910865824112937,1.1296479540945006
Devil is in the Edges: Learning Semantic Boundaries from Noisy Annotations,"David Acuna, Amlan Kar, Sanja Fidler","We tackle the problem of semantic boundary prediction, which aims to identify pixels that belong to object(class) boundaries. We notice that relevant datasets consist of a significant level of label noise, reflecting the fact that precise annotations are laborious to get and thus annotators trade-off quality with efficiency. We aim to learn sharp and precise semantic boundaries by explicitly reasoning about annotation noise during training. We propose a simple new layer and loss that can be used with existing learning-based boundary detectors. Our layer/loss enforces the detector to predict a maximum response along the normal direction at an edge, while also regularizing its direction. We further reason about true object boundaries during training using a level set formulation, which allows the network to learn from misaligned labels in an end-to-end fashion. Experiments show that we improve over the CASENet backbone network by more than 4% in terms of MF(ODS) and 18.61% in terms of AP, outperforming all current state-of-the-art methods including those that deal with alignment. Furthermore, we show that our learned network can be used to significantly improve coarse segmentation labels, lending itself as an efficient way to label new data.",2019-04-16T19:16:57Z,cs.CV,https://arxiv.org/pdf/1904.07934v2,https://arxiv.org/abs/1904.07934v2,tackle problem semantic boundary prediction aim identify pixel belong objectclass boundary notice relevant datasets consist significant level label noise reflecting fact precise annotation laborious get thus annotator tradeoff quality efficiency aim learn sharp precise semantic boundary explicitly reasoning annotation noise training propose simple new layer loss used existing learningbased boundary detector layerloss enforces detector predict maximum response along normal direction edge also regularizing direction reason true object boundary training using level set formulation allows network learn misaligned label endtoend fashion experiment show improve casenet backbone network term mfods term ap outperforming current stateoftheart method including deal alignment furthermore show learned network used significantly improve coarse segmentation label lending efficient way label new data,0.6569767441860465,0.987779318248756,1.3244740202386902
How to define co-occurrence in different domains of study?,Mathieu Roche,"This position paper presents a comparative study of co-occurrences. Some similarities and differences in the definition exist depending on the research domain (e.g. linguistics, NLP, computer science). This paper discusses these points, and deals with the methodological aspects in order to identify co-occurrences in a multidisciplinary paradigm.",2019-04-16T23:16:56Z,cs.IR,https://arxiv.org/pdf/1904.08010v1,https://arxiv.org/abs/1904.08010v1,position paper present comparative study cooccurrences similarity difference definition exist depending research domain eg linguistics nlp computer science paper discusses point deal methodological aspect order identify cooccurrences multidisciplinary paradigm,0.1686046511627907,0.9883017828548426,1.0833161386709025
Decision Making with Machine Learning and ROC Curves,"Kai Feng, Han Hong, Ke Tang, Jingyuan Wang",The Receiver Operating Characteristic (ROC) curve is a representation of the statistical information discovered in binary classification problems and is a key concept in machine learning and data science. This paper studies the statistical properties of ROC curves and its implication on model selection. We analyze the implications of different models of incentive heterogeneity and information asymmetry on the relation between human decisions and the ROC curves. Our theoretical discussion is illustrated in the context of a large data set of pregnancy outcomes and doctor diagnosis from the Pre-Pregnancy Checkups of reproductive age couples in Henan Province provided by the Chinese Ministry of Health.,2019-05-05T08:01:23Z,stat.ME,https://arxiv.org/pdf/1905.02810v1,https://arxiv.org/abs/1905.02810v1,receiver operating characteristic roc curve representation statistical information discovered binary classification problem key concept machine learning data science paper study statistical property roc curve implication model selection analyze implication different model incentive heterogeneity information asymmetry relation human decision roc curve theoretical discussion illustrated context large data set pregnancy outcome doctor diagnosis prepregnancy checkup reproductive age couple henan province provided chinese ministry health,0.36046511627906974,0.9905043089196358,1.178521125444818
Feature Selection and Feature Extraction in Pattern Analysis: A Literature Review,"Benyamin Ghojogh, Maria N. Samad, Sayema Asif Mashhadi, Tania Kapoor, Wahab Ali, Fakhri Karray, Mark Crowley","Pattern analysis often requires a pre-processing stage for extracting or selecting features in order to help the classification, prediction, or clustering stage discriminate or represent the data in a better way. The reason for this requirement is that the raw data are complex and difficult to process without extracting or selecting appropriate features beforehand. This paper reviews theory and motivation of different common methods of feature selection and extraction and introduces some of their applications. Some numerical implementations are also shown for these methods. Finally, the methods in feature selection and extraction are compared.",2019-05-07T23:41:34Z,cs.LG,https://arxiv.org/pdf/1905.02845v1,https://arxiv.org/abs/1905.02845v1,pattern analysis often requires preprocessing stage extracting selecting feature order help classification prediction clustering stage discriminate represent data better way reason requirement raw data complex difficult process without extracting selecting appropriate feature beforehand paper review theory motivation different common method feature selection extraction introduces application numerical implementation also shown method finally method feature selection extraction compared,0.32558139534883723,0.993625536008723,1.1617529942339782
AI-Powered Text Generation for Harmonious Human-Machine Interaction: Current State and Future Directions,"Qiuyun Zhang, Bin Guo, Hao Wang, Yunji Liang, Shaoyang Hao, Zhiwen Yu","In the last two decades, the landscape of text generation has undergone tremendous changes and is being reshaped by the success of deep learning. New technologies for text generation ranging from template-based methods to neural network-based methods emerged. Meanwhile, the research objectives have also changed from generating smooth and coherent sentences to infusing personalized traits to enrich the diversification of newly generated content. With the rapid development of text generation solutions, one comprehensive survey is urgent to summarize the achievements and track the state of the arts. In this survey paper, we present the general systematical framework, illustrate the widely utilized models and summarize the classic applications of text generation.",2019-05-01T23:26:38Z,cs.CL,https://arxiv.org/pdf/1905.01984v1,https://arxiv.org/abs/1905.01984v1,last two decade landscape text generation undergone tremendous change reshaped success deep learning new technology text generation ranging templatebased method neural networkbased method emerged meanwhile research objective also changed generating smooth coherent sentence infusing personalized trait enrich diversification newly generated content rapid development text generation solution one comprehensive survey urgent summarize achievement track state art survey paper present general systematical framework illustrate widely utilized model summarize classic application text generation,0.4069767441860465,0.9946147888011516,1.2023925442327925
Conditioning LSTM Decoder and Bi-directional Attention Based Question Answering System,Heguang Liu,"Applying neural-networks on Question Answering has gained increasing popularity in recent years. In this paper, I implemented a model with Bi-directional attention flow layer, connected with a Multi-layer LSTM encoder, connected with one start-index decoder and one conditioning end-index decoder. I introduce a new end-index decoder layer, conditioning on start-index output. The Experiment shows this has increased model performance by 15.16%. For prediction, I proposed a new smart-span equation, rewarding both short answer length and high probability in start-index and end-index, which further improved the prediction accuracy. The best single model achieves an F1 score of 73.97% and EM score of 64.95% on test set.",2019-05-02T01:07:20Z,cs.CL,https://arxiv.org/pdf/1905.02019v1,https://arxiv.org/abs/1905.02019v1,applying neuralnetworks question answering gained increasing popularity recent year paper implemented model bidirectional attention flow layer connected multilayer lstm encoder connected one startindex decoder one conditioning endindex decoder introduce new endindex decoder layer conditioning startindex output experiment show increased model performance prediction proposed new smartspan equation rewarding short answer length high probability startindex endindex improved prediction accuracy best single model achieves f score em score test set,0.38953488372093026,1.0,1.1947674418604652
2-bit Model Compression of Deep Convolutional Neural Network on ASIC Engine for Image Retrieval,"Bin Yang, Lin Yang, Xiaochun Li, Wenhan Zhang, Hua Zhou, Yequn Zhang, Yongxiong Ren, Yinbo Shi","Image retrieval utilizes image descriptors to retrieve the most similar images to a given query image. Convolutional neural network (CNN) is becoming the dominant approach to extract image descriptors for image retrieval. For low-power hardware implementation of image retrieval, the drawback of CNN-based feature descriptor is that it requires hundreds of megabytes of storage. To address this problem, this paper applies deep model quantization and compression to CNN in ASIC chip for image retrieval. It is demonstrated that the CNN-based features descriptor can be extracted using as few as 2-bit weights quantization to deliver a similar performance as floating-point model for image retrieval. In addition, to implement CNN in ASIC, especially for large scale images, the limited buffer size of chips should be considered. To retrieve large scale images, we propose an improved pooling strategy, region nested invariance pooling (RNIP), which uses cropped sub-images for CNN. Testing results on chip show that integrating RNIP with the proposed 2-bit CNN model compression approach is capable of retrieving large scale images.",2019-05-08T21:48:42Z,cs.AI,https://arxiv.org/pdf/1905.03362v1,https://arxiv.org/abs/1905.03362v1,image retrieval utilizes image descriptor retrieve similar image given query image convolutional neural network cnn becoming dominant approach extract image descriptor image retrieval lowpower hardware implementation image retrieval drawback cnnbased feature descriptor requires hundred megabyte storage address problem paper applies deep model quantization compression cnn asic chip image retrieval demonstrated cnnbased feature descriptor extracted using bit weight quantization deliver similar performance floatingpoint model image retrieval addition implement cnn asic especially large scale image limited buffer size chip considered retrieve large scale image propose improved pooling strategy region nested invariance pooling rnip us cropped subimages cnn testing result chip show integrating rnip proposed bit cnn model compression approach capable retrieving large scale image,0.6511627906976745,0.9934925675701002,1.3234626964181722
